iter,solution
0,0 1 2 3 4 5 6 7 8 9 10 11 2 13 0 1 3 2 6 6 8 9 12 13 0 1 10 1 2 4 
1,4 0 2 0 11 5 6 7 8 9 10 11 2 13 0 1 3 2 6 6 8 9 12 13 0 1 10 1 2 4 
2,4 0 2 0 11 5 6 7 8 9 10 11 2 13 0 1 3 2 6 6 8 9 12 13 0 1 10 1 2 4 
3,4 0 2 0 11 5 6 7 8 9 10 11 2 13 0 1 12 2 3 6 8 0 12 13 0 1 10 0 2 4 
4,4 0 2 0 14 5 6 7 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 0 1 10 0 2 4 
5,4 0 2 0 14 5 6 7 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 0 1 10 0 2 4 
6,4 0 2 0 14 5 6 7 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 0 1 10 0 2 4 
7,4 0 2 0 14 5 6 7 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 0 1 10 0 2 4 
8,4 0 2 0 14 5 6 7 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 0 1 10 0 2 4 
9,4 0 2 0 14 5 6 7 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 0 1 10 0 2 4 
10,4 0 2 0 10 5 6 1 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 1 1 7 0 2 4 
11,4 0 2 0 10 5 6 1 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 1 1 7 0 2 4 
12,4 0 2 0 10 5 6 1 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 1 1 7 0 2 4 
13,4 0 2 0 10 5 6 1 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 1 1 7 0 2 4 
14,4 0 2 0 10 5 6 1 8 9 10 11 2 13 0 12 11 2 3 6 8 0 0 13 1 1 7 0 2 4 
